GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
resto-os-backend,com.resto.tenant.domain,MembershipStore,43,0,0,0,13,0,12,0,12,0
resto-os-backend,com.resto.tenant.domain,MembershipStore.MembershipStoreBuilder,51,0,0,0,12,0,6,0,6,0
resto-os-backend,com.resto.tenant.domain,Organization,20,37,0,0,8,10,5,10,5,10
resto-os-backend,com.resto.tenant.domain,User.UserBuilder,94,0,2,0,20,0,11,0,10,0
resto-os-backend,com.resto.tenant.domain,User,78,0,0,0,24,0,21,0,21,0
resto-os-backend,com.resto.tenant.domain,Membership.MembershipBuilder,51,0,0,0,12,0,6,0,6,0
resto-os-backend,com.resto.tenant.domain,Store.StoreBuilder,104,0,6,0,20,0,13,0,10,0
resto-os-backend,com.resto.order.controller,OrderController.CreateOrderRequest,45,0,0,0,13,0,13,0,13,0
resto-os-backend,com.resto.order.controller,OrderController,78,0,0,0,33,0,4,0,4,0
resto-os-backend,com.resto.order.controller,OrderController.CancelOrderRequest,17,0,0,0,5,0,5,0,5,0
resto-os-backend,com.resto.catalog.service,CatalogService,166,0,18,0,44,0,16,0,7,0
resto-os-backend,com.resto.catalog.service,StoreCatalogService,153,0,18,0,42,0,13,0,4,0
resto-os-backend,com.resto.floorplan.controller,FloorPlanController,125,0,0,0,55,0,6,0,6,0
resto-os-backend,com.resto.floorplan.controller,FloorPlanController.CreateZoneRequest,31,0,0,0,9,0,9,0,9,0
resto-os-backend,com.resto.floorplan.controller,FloorPlanController.UpdateStatusRequest,10,0,0,0,3,0,3,0,3,0
resto-os-backend,com.resto.floorplan.controller,FloorPlanController.CreateTableRequest,59,0,0,0,17,0,17,0,17,0
resto-os-backend,com.resto.core.websocket,WebSocketConfig,40,0,0,0,8,0,3,0,3,0
resto-os-backend,com.resto.order.service,OrderService,340,0,20,0,88,0,17,0,7,0
resto-os-backend,com.resto.order.service,OrderService.CreateOrderItemParam,31,0,0,0,9,0,9,0,9,0
resto-os-backend,com.resto.payment.domain,Payment,64,0,0,0,19,0,18,0,18,0
resto-os-backend,com.resto.payment.domain,Payment.PaymentBuilder,78,0,0,0,18,0,9,0,9,0
resto-os-backend,com.resto.core.security,RlsAspect,32,0,4,0,12,0,4,0,2,0
resto-os-backend,com.resto.core.security,RlsContextInterceptor,53,0,12,0,18,0,9,0,3,0
resto-os-backend,com.resto.core.security,SecurityConfig,90,0,0,0,20,0,8,0,8,0
resto-os-backend,com.resto.core.security,TenantContext,33,0,0,0,12,0,7,0,7,0
resto-os-backend,com.resto.payment.service,PaymentService,139,0,12,0,40,0,9,0,3,0
resto-os-backend,com.resto.kitchen.service,KitchenService,61,0,0,0,14,0,4,0,4,0
resto-os-backend,com.resto.floorplan.service,FloorPlanService,128,0,12,0,31,0,13,0,7,0
